id,province_code,city_code,district_code,district,created_at,updated_at
1757,17,1702,170206,KOTA PADANG,,
1758,95,9508,950831,KREPKURI,,
1759,35,3507,350731,KROMENGAN,,
1760,36,3603,360307,KRONJO,,
1761,11,1114,111402,KRUENG SABEE,,
1762,11,1112,111205,KUALA BATEE,,
1763,61,6108,610809,KUALA BEHE,,
1764,14,1405,140510,KUALA KAMPAR,,
1765,61,6112,611202,KUALA MANDOR B,,
1766,12,1223,122301,KUALUH HULU,,
1767,72,7210,721005,KULAWI,,
1768,72,7210,721006,KULAWI SELATAN,,
1769,14,1471,147114,KULIM,,
1770,63,6310,631011,KUSAN TENGAH,,
1771,11,1101,110111,LABUHAN HAJI TIMUR,,
1772,12,1207,120704,KUTALIMBARU,,
1773,53,5315,531502,KUWUS,,
1774,72,7211,721105,LABOBO,,
1775,53,5312,531218,LABOYA BARAT,,
1776,18,1807,180721,LABUHAN RATU,,
1777,11,1101,110104,LABUHANHAJI,,
1778,74,7411,741103,LADONGI,,
1779,53,5321,532108,LAENMANEN,,
1780,74,7405,740519,LAEYA,,
1781,72,7202,720203,LAGE,,
1782,12,1224,122410,LAHEWA,,
1783,72,7205,720502,LAKEA,,
1784,74,7414,741401,LAKUDO,,
1785,73,7312,731204,LALABATA,,
1786,53,5312,531212,LAMBOYA,,
1787,73,7308,730813,LAMURU,,
1788,74,7409,740913,LANDAWE,,
1789,12,1271,127116,MEDAN POLONIA,,
1790,12,1271,127121,MEDAN SELAYANG,,
1791,12,1271,127102,MEDAN SUNGGAL,,
1792,12,1215,121505,PERGETTENG GETTENG SENGKUT,,
1793,36,3602,360225,LEBAKGEDONG,,
1794,33,3328,332806,LEBAKSIU,,
1795,71,7172,717208,LEMBEH UTARA,,
1796,35,3520,352003,LEMBEYAN,,
1797,74,7409,740906,LEMBO,,
1798,35,3513,351305,LECES,,
1799,82,8208,820803,LEDE,,
1800,61,6107,610703,LEDO,,
1801,32,3210,321001,LEMAHSUGIH,,
1802,61,6107,610716,LEMBAH BAWANG,,
1803,13,1312,131202,LEMBAH MELINTANG,,
1804,32,3217,321701,LEMBANG,,
1805,73,7315,731507,LEMBANG,,
1807,18,1813,181303,LEMONG,,
1808,52,5203,520321,LENEK,,
1809,64,6402,640202,LOA KULU,,
1810,71,7101,710112,LOLAK,,
1811,81,8104,810411,LOLONG GUBA,,
1812,64,6411,641104,LONG APARI,,
1813,64,6411,641101,LONG BAGUN,,
1814,64,6411,641102,LONG HUBUNG,,
1815,64,6401,640106,LONG IKIS,,
1816,64,6407,640705,LONG IRAM,,
1817,64,6401,640108,LONG KALI,,
1818,64,6411,641105,LONG PAHANGAI,,
1819,11,1175,117505,LONGKIB,,
1820,72,7202,720225,LORE PIORE,,
1821,72,7202,720209,LORE SELATAN,,
1822,72,7202,720208,LORE TENGAH,,
1823,12,1224,122401,LOTU,,
1824,53,5318,531801,LOURA,,
1825,35,3573,357305,LOWOKWARU,,
1826,12,1214,121432,LUAHAGUNDRE MANIAMOLO,,
1827,17,1704,170410,LUAS,,
1828,16,1603,160314,LUBAI,,
1829,15,1503,150306,MANDIANGIN,,
1830,13,1375,137502,MANDIANGIN KOTO SELAYAN,,
1831,21,2171,217106,LUBUK BAJA,,
1832,12,1221,122104,LUBUK BARUMUN,,
1833,18,1804,180422,LUMBOK SEMINUNG,,
1834,13,1371,137106,LUBUK BEGALUNG,,
1835,19,1904,190406,LUBUK BESAR,,
1836,14,1408,140811,LUBUK DALAM,,
1837,16,1673,167302,LUBUK LINGGAU BARAT I,,
1838,16,1673,167304,LUBUK LINGGAU UTARA I,,
1839,16,1673,167308,LUBUK LINGGAU UTARA II,,
1840,16,1601,160130,LUBUK RAJA,,
1841,17,1705,170507,LUBUK SANDI,,
1842,17,1704,170413,LUNGKANG KULE,,
1843,52,5204,520402,LUNYUK,,
1844,72,7201,720121,LUWUK UTARA,,
1845,76,7604,760410,LUYO,,
1846,13,1312,131210,LUHAK NAN DUO,,
1847,35,3508,350810,LUMAJANG,,
1848,61,6107,610713,LUMAR,,
1849,12,1212,121209,LUMBAN JULU,,
1850,35,3514,351404,LUMBANG,,
1851,35,3513,351324,LUMBANG,,
1852,33,3302,330201,LUMBIR,,
1853,65,6503,650304,LUMBIS,,
1854,65,6503,650321,LUMBIS HULU,,
1855,65,6503,650315,LUMBIS OGONG,,
1856,65,6503,650320,LUMBIS PANSIANGAN,,
1857,71,7104,710402,BEO,,
1858,94,9402,940215,LUMO,,
1859,12,1201,120119,LUMUT,,
1860,35,3526,352602,SOCAH,,
1861,32,3206,320612,SODONGHILIR,,
1862,72,7201,720104,LUWUK,,
1863,72,7201,720111,LUWUK TIMUR,,
1864,19,1903,190303,AIRGEGAS,,
1865,32,3204,320434,SOLOKANJERUK,,
1866,82,8206,820602,MABA,,
1867,82,8206,820603,MABA SELATAN,,
1868,82,8206,820608,MABA TENGAH,,
1869,82,8206,820609,MABA UTARA,,
1870,53,5315,531501,MACANG PACAR,,
1871,16,1608,160807,MADANG SUKU I,,
1872,35,3524,352415,SOLOKURO,,
1873,53,5306,530606,SOLOR BARAT,,
1874,35,3519,351908,MADIUN,,
1875,33,3304,330408,MADUKARA,,
1876,35,3511,351101,MAESAN,,
1877,35,3576,357602,MAGERSARI,,
1878,35,3520,352006,MAGETAN,,
1879,74,7413,741306,MAGINTI,,
1880,53,5311,531122,MAHU,,
1881,95,9504,950444,LI ANOGOMMA,,
1882,53,5307,530712,MAGEPANDA,,
1883,72,7207,720705,LIANG,,
1884,74,7472,747203,SORAWOLIO,,
1885,32,3204,320437,SOREANG,,
1886,73,7316,731601,MAIWA,,
1887,36,3602,360213,MAJA,,
1888,32,3210,321006,MAJA,,
1889,32,3204,320433,MAJALAYA,,
1890,32,3210,321007,MAJALENGKA,,
1891,73,7313,731305,MAJAULENG,,
1892,17,1704,170406,MAJE,,
1893,33,3301,330114,MAJENANG,,
1894,73,7318,731805,MAKALE,,
1895,73,7318,731829,MAKALE SELATAN,,
1896,73,7318,731827,MAKALE UTARA,,
1897,16,1607,160709,MAKARTI JAYA,,
1898,31,3175,317508,MAKASAR,,
1899,11,1111,111106,MAKMUR,,
1900,96,9601,960149,MALABOTOM,,
1901,96,9671,967110,MALADUM MES,,
1902,96,9671,967109,MALAIMSIMSA,,
1903,53,5321,532102,MALAKA BARAT,,
1904,53,5321,532101,MALAKA TENGAH,,
1905,53,5321,532109,MALAKA TIMUR,,
1906,71,7171,717109,MALALAYANG,,
1907,32,3205,320514,MALANGBONG,,
1908,73,7322,732201,MALANGKE,,
1909,73,7322,732208,MALANGKE BARAT,,
1910,35,3529,352903,MANDING,,
1911,82,8204,820419,MANDIOLI SELATAN,,
1912,82,8204,820420,MANDIOLI UTARA,,
1913,71,7103,710313,MANGANITU,,
1914,71,7103,710310,MANGANITU SELATAN,,
1915,73,7305,730502,MANGARABOMBANG,,
1916,35,3512,351209,MANGARAN,,
1917,82,8203,820308,MALIFUT,,
1918,74,7403,740307,MALIGANO,,
1919,62,6211,621106,MALIKU,,
1920,73,7324,732404,MALILI,,
1921,73,7318,731835,MALIMBONG BALEPE,,
1922,65,6502,650206,MALINAU SELATAN,,
1923,65,6502,650213,MALINAU SELATAN HILIR,,
1924,65,6502,650214,MALINAU SELATAN HULU,,
1925,65,6502,650207,MALINAU UTARA,,
1926,93,9301,930114,MALIND,,
1927,36,3602,360201,MALINGPING,,
1928,73,7309,730906,MALLLAWA,,
1929,73,7311,731105,MALLUSETASI,,
1930,73,7316,731609,MALUA,,
1931,76,7605,760504,MALUNDA,,
1932,76,7603,760303,MAMASA,,
1933,91,9120,912005,MAMBERAMO HILIR,,
1934,91,9120,912002,MAMBERAMO HULU,,
1935,91,9120,912001,MAMBERAMO TENGAH,,
1936,91,9120,912004,MAMBERAMO TENGAH TIMUR,,
1937,76,7603,760301,MAMBI,,
1938,36,3601,360117,MANDALAWANGI,,
1939,73,7310,731011,MANDALLE,,
1940,34,3471,347108,MANTRIJERON,,
1941,35,3524,352416,MANTUP,,
1942,62,6203,620315,MANDAU TALAWANG,,
1943,32,3203,320308,MANDE,,
1944,33,3312,331210,MANYARAN,,
1945,81,8102,810215,MANYEUW,,
1946,33,3301,330107,MAOS,,
1947,35,3520,352011,MAOSPATI,,
1948,71,7171,717108,MAPANGET,,
1949,93,9302,930201,MANDOBO,,
1950,71,7102,710223,MANDOLANG,,
1951,61,6108,610804,MANDOR,,
1952,12,1225,122505,MANDREHE,,
1953,95,9508,950802,MAPENDUMA,,
1954,12,1225,122506,MANDREHE UTARA,,
1955,12,1201,120105,MANDUAMAS,,
1956,11,1107,110727,MANE,,
1957,96,9604,960425,MANEKAR,,
1958,52,5205,520507,MANGGELEWA,,
1959,19,1906,190601,MANGGAR,,
1960,93,9302,930212,MANGGELUM,,
1961,11,1112,111203,MANGGENG,,
1962,51,5107,510703,MANGGIS,,
1963,32,3278,327808,MANGKUBUMI,,
1964,73,7324,732401,MANGKUTANA,,
1965,82,8205,820506,MANGOLI BARAT,,
1966,82,8205,820512,MANGOLI SELATAN,,
1967,82,8205,820511,MANGOLI TENGAH,,
1968,82,8205,820513,MANGOLI UTARA,,
1969,82,8205,820510,MANGOLI UTARA TIMUR,,
1970,35,3577,357702,MANGUHARJO,,
1971,32,3206,320625,MANGUNREJA,,
1972,12,1214,121410,MANIAMOLO,,
1973,73,7313,731309,MANIANGPAJO,,
1974,32,3214,321407,MANIIS,,
1975,92,9206,920611,MANIMERI,,
1976,61,6104,610403,MANIS MATA,,
1977,33,3310,331009,MANISRENGGO,,
1978,17,1701,170104,MANNA,,
1979,91,9111,911109,MANNEM,,
1980,92,9202,920212,MANOKWARI BARAT,,
1981,92,9202,920215,MANOKWARI SELATAN,,
1982,92,9202,920213,MANOKWARI TIMUR,,
1983,21,2101,210113,MANTANG,,
1984,63,6310,631008,MANTEWE,,
1985,72,7271,727108,MANTIKULORE,,
1986,35,3521,352113,MANTINGAN,,
1987,72,7201,720122,MANTOH,,
1988,73,7306,730614,MANUJU,,
1989,11,1116,111601,MANYAK PAYED,,
1990,35,3525,352510,MANYAR,,
1991,13,1308,130815,MAPAT TUNGGUL SELATAN,,
1992,94,9406,940609,MAPIA TENGAH,,
1993,76,7604,760408,MAPILLI,,
1994,53,5307,530721,MAPITARA,,
1995,73,7318,731828,MAPPAK,,
1996,73,7322,732210,MAPPEDECENG,,
1997,18,1807,180711,MARGA TIGA,,
1998,73,7310,731008,MARANG,,
1999,64,6402,640217,MARANG KAYU,,
2000,64,6403,640311,MARATUA,,
2001,61,6104,610402,MARAU,,
2002,72,7210,721015,MARAWOLA BARAT,,
2003,12,1223,122305,MARBAU,,
2004,12,1206,120610,MARDINGDING,,
2005,73,7308,730807,MARE,,
2006,96,9605,960511,MARE,,
2007,96,9605,960524,MARE SELATAN,,
2008,35,3513,351317,MARON,,
2009,52,5204,520424,MARONGE,,
2010,73,7309,730904,MAROS BARU,,
2011,18,1809,180908,MARGA PUNDUH,,
2012,17,1703,170325,MARGA SAKTI SEBELAT,,
2013,18,1807,180724,MARGA SEKAMPUNG,,
2014,33,3328,332801,MARGASARI,,
2015,15,1502,150221,MARGO TABIR,,
2016,35,3522,352222,MARGOMULYO,,
2017,33,3318,331812,MARGOREJO,,
2018,33,3318,331816,MARGOYOSO,,
2019,96,9601,960139,MARIAT,,
2020,62,6206,620607,MARIKIT,,
2021,73,7312,731205,MARIORIAWA,,
2022,73,7312,731201,MARIORIWAWO,,
2023,73,7371,737101,MARISO,,
2024,74,7406,740608,MATA OLEO,,
2025,74,7406,740622,MATA USU,,
2026,76,7604,760414,MATAKALI,,
2027,61,6104,610412,MATAN HILIR SELATAN,,
2028,61,6104,610401,MATAN HILIR UTARA,,
2029,11,1108,110805,MATANGKULI,,
2030,76,7604,760409,MATANGNGA,,
2031,15,1504,150406,MARO SEBO ULU,,
2032,16,1608,160801,MARTAPURA,,
2033,63,6303,630315,MARTAPURA TIMUR,,
2034,73,7309,730908,MARUSU,,
2035,35,3529,352923,MASALEMBU,,
2036,73,7316,731611,MASALLE,,
2037,72,7201,720110,MASAMA,,
2038,73,7322,732203,MASAMBA,,
2039,73,7318,731831,MASANDA,,
2040,73,7315,731503,MATTIRO BULU,,
2041,91,9115,911503,MASIREI,,
2042,92,9202,920205,MASNI,,
2043,92,9206,920617,MASYETA,,
2044,18,1807,180716,MATARAM BARU,,
2045,12,1214,121413,MAZINO,,
2046,53,5305,530512,MATARU,,
2047,53,5311,531115,MATAWAI LA PAWU,,
2048,96,9602,960220,MATEMANI,,
2049,33,3313,331305,MATESIH,,
2050,73,7315,731501,MATTIRO SOMPE,,
2051,96,9601,960120,MAUDUS,,
2052,36,3603,360308,MAUK,,
2053,53,5308,530811,MAUKARO,,
2054,53,5371,537102,MAULAFA,,
2055,53,5316,531604,MAUPONGGO,,
2056,53,5308,530810,MAUROLE,,
2057,96,9604,960422,MAWABUAN,,
2058,74,7414,741404,MAWASANGKA,,
2059,74,7414,741403,MAWASANGKA TENGAH,,
2060,74,7414,741402,MAWASANGKA TIMUR,,
2061,96,9601,960113,MAYAMUK,,
2062,33,3320,332004,MAYONG,,
2063,92,9203,920314,MBAHAMDANDARA,,
2064,53,5315,531510,MBELILING,,
2065,71,7109,710909,SIAU TENGAH,,
2066,71,7109,710901,SIAU TIMUR,,
2067,12,1271,127109,MEDAN AMPLAS,,
2068,12,1271,127110,MEDAN AREA,,
2069,12,1271,127105,MEDAN BARAT,,
2070,12,1271,127117,MEDAN BARU,,
2071,12,1271,127108,MEDAN BELAWAN,,
2072,12,1271,127106,MEDAN DELI,,
2073,12,1271,127104,MEDAN DENAI,,
2074,12,1271,127111,MEDAN JOHOR,,
2075,95,9503,950311,AMUMA,,
2076,12,1271,127113,MEDAN LABUHAN,,
2077,53,5301,530119,AMARASI TIMUR,,
2078,33,3305,330507,AMBAL,,
2079,12,1271,127112,MEDAN MARELAN,,
2080,63,6304,630413,MEKARSARI,,
2081,81,8109,810903,AMBALAU,,
2082,61,6105,610515,AMBALAU,,
2083,52,5206,520610,AMBALAWI,,
2084,12,1271,127107,MEDAN TUNTUNGAN,,
2085,12,1219,121901,MEDANG DERAS,,
2086,14,1472,147205,MEDANG KAMPAI,,
2087,32,3275,327506,MEDANSATRIA,,
2088,95,9505,950504,MEGAMBILIS,,
2089,32,3201,320126,MEGAMENDUNG,,
2090,16,1605,160512,MEGANG SAKTI,,
2091,36,3601,360130,MEKARJAYA,,
2092,32,3205,320532,MEKARMUKTI,,
2093,51,5101,510104,MELAYA,,
2094,61,6103,610320,MELIAU,,
2095,74,7402,740225,MELUHU,,
2096,19,1902,190202,MEMBALONG,,
2097,92,9212,921203,MEMBEY,,
2098,61,6102,610201,MEMPAWAH HILIR,,
2099,61,6108,610802,MEMPAWAH HULU,,
2100,61,6102,610218,MEMPAWAH TIMUR,,
2101,15,1507,150703,MENDAHARA,,
2102,15,1507,150709,MENDAHARA ULU,,
2103,62,6206,620609,MENDAWAI,,
2104,19,1901,190104,MENDO BARAT,,
2105,51,5101,510102,MENDOYO,,
2106,35,3525,352513,MENGANTI,,
2107,73,7318,731812,MENGKENDEK,,
2108,51,5103,510302,MENGWI,,
2109,61,6108,610803,MENJALIN,,
2110,94,9401,940115,MENOU,,
2111,65,6502,650201,MENTARANG,,
2112,65,6502,650212,MENTARANG HULU,,
2113,62,6202,620206,MENTAWA BARU KETAPANG,,
2114,62,6209,620905,MENTHOBI RAYA,,
2115,72,7206,720607,MENUI KEPULAUAN,,
2116,61,6110,611004,MENUKUNG,,
2117,61,6108,610806,MENYUKE,,
2118,96,9603,960311,MEOS MANSAR,,
2119,72,7208,720812,MEPANGA,,
2120,35,3523,352313,MERAKURAK,,
2121,21,2102,210204,MERAL,,
2122,21,2102,210210,MERAL BARAT,,
2123,61,6108,610808,MERANTI,,
2124,16,1604,160426,MERAPI SELATAN,,
2125,16,1604,160423,MERAPI TIMUR,,
2126,93,9301,930101,MERAUKE,,
2127,19,1901,190103,MERAWANG,,
2128,14,1410,141005,MERBAU,,
2129,18,1801,180118,MERBAU MATARAM,,
2130,92,9206,920602,MERDEY,,
2131,12,1206,120605,MEREK,,
2132,34,3471,347112,MERGANGSAN,,
2133,17,1709,170907,MERIGI KELINDANG,,
2134,15,1506,150605,MERLUNG,,
2135,15,1504,150401,MERSAM,,
2136,33,3308,330810,MERTOYUDAN,,
2137,11,1117,111709,MESIDAH,,
2138,11,1106,110609,MESJID RAYA,,
2139,76,7603,760307,MESSAWA,,
2140,94,9402,940204,MEWOLUK,,
2141,92,9206,920623,MEYADO,,
2142,16,1602,160204,MESUJI,,
2143,16,1602,160220,MESUJI MAKMUR,,
2144,16,1602,160221,MESUJI RAYA,,
2145,18,1811,181102,MESUJI TIMUR,,
2146,18,1872,187203,METRO BARAT,,
2147,18,1807,180710,METRO KIBANG,,
2148,18,1872,187201,METRO PUSAT,,
2149,18,1872,187205,METRO SELATAN,,
2150,18,1872,187204,METRO TIMUR,,
2151,18,1872,187202,METRO UTARA,,
2152,11,1101,110105,MEUKEK,,
2153,11,1118,111805,MEURAH DUA,,
2154,11,1118,111801,MEUREUDU,,
2155,21,2103,210304,MIDAI,,
2156,62,6210,621007,MIHING RAYA,,
2157,11,1107,110711,MILA,,
2158,94,9404,940404,MIMIKA BARAT,,
2159,94,9404,940411,MIMIKA BARAT JAUH,,
2160,94,9404,940412,MIMIKA BARAT TENGAH,,
2161,94,9404,940401,MIMIKA BARU,,
2162,93,9302,930202,MINDIPTANA,,
2163,94,9404,940403,MIMIKA TIMUR,,
2164,94,9404,940407,MIMIKA TIMUR JAUH,,
2165,14,1408,140803,MINAS,,
2166,73,7310,731010,MINASA TENE,,
2167,81,8108,810803,MDONA HYERA,,
2168,81,8108,810801,MOA,,
2169,92,9212,921209,MINYAMBAOUW,,
2170,93,9303,930309,MINYAMUR,,
2171,53,5303,530311,MIOMAFFO TENGAH,,
2172,53,5303,530302,MIOMAFFO BARAT,,
2173,53,5303,530301,MIOMAFFO TIMUR,,
2174,33,3314,331414,MIRI,,
2175,62,6210,621009,MIRI MANASA,,
2176,33,3305,330508,MIRIT,,
2177,96,9603,960301,MISOOL (MISOOL UTARA),,
2178,96,9603,960316,MISOOL BARAT,,
2179,96,9603,960313,MISOOL SELATAN,,
2180,96,9604,960416,MIYAH SELATAN,,
2181,71,7110,711004,MODAYAG,,
2182,35,3524,352403,MODO,,
2183,71,7105,710501,MODOINDING,,
2184,33,3313,331315,MOJOGEDANG,,
2185,33,3311,331108,MOJOLABAN,,
2186,35,3571,357101,MOJOROTO,,
2187,33,3309,330906,MOJOSONGO,,
2188,33,3307,330711,MOJOTENGAH,,
2189,35,3517,351707,MOJOWARNO,,
2190,11,1106,110605,MONTASIK,,
2191,61,6107,610708,MONTERADO,,
2192,35,3523,352310,MONTONG,,
2193,52,5203,520311,MONTONG GADING,,
2194,71,7110,711007,MOOAT,,
2195,64,6407,640718,MOOK MANAAR BULATN,,
2196,94,9401,940113,MOORA,,
2197,72,7212,721205,MORI ATAS,,
2198,71,7104,710417,MORONGE,,
2199,74,7402,740239,MOROSI,,
2200,82,8207,820703,MOROTAI JAYA,,
2201,82,8207,820701,MOROTAI SELATAN,,
2202,82,8207,820702,MOROTAI SELATAN BARAT,,
2203,82,8207,820705,MOROTAI TIMUR,,
2204,71,7110,711006,MOTONGKAD,,
2205,72,7208,720804,MOUTONG,,
2206,74,7411,741107,MOWEWE,,
2207,52,5204,520409,MOYO HILIR,,
2208,52,5204,520410,MOYO HULU,,
2209,95,9501,950113,NAPUA,,
2210,32,3203,320324,NARINGGUL,,
2211,35,3501,350111,NGADIROJO,,
2212,33,3312,331213,NGADIROJO,,
2213,53,5311,531121,NGADU NGALA,,
2214,34,3404,340412,NGAGLIK,,
2215,35,3507,350720,NGAJUM,,
2216,33,3374,337415,NGALIYAN,,
2217,35,3522,352203,NGAMBON,,
2218,18,1813,181309,NGAMBUR,,
2219,33,3324,332419,NGAMPEL,,
2220,32,3217,321706,NGAMPRAH,,
2221,35,3506,350607,NGANCAR,,
2222,64,6402,640205,MUARA BADAK,,
2223,18,1813,181310,NGARAS,,
2224,33,3313,331307,NGARGOYOSO,,
2225,35,3520,352016,NGARIBOYO,,
2226,33,3315,331509,NGARINGAN,,
2227,35,3522,352204,NGASEM,,
2228,12,1213,121317,MUARA BATANG GADIS,,
2229,12,1203,120329,MUARA BATANG TORU,,
2230,11,1108,110806,MUARA BATU,,
2231,35,3506,350625,NGASEM,,
2232,33,3316,331612,NGAWEN,,
2233,34,3403,340313,NGAWEN,,
2234,33,3310,331022,NGAWEN,,
2235,35,3521,352109,NGAWI,,
2236,35,3502,350219,NGEBEL,,
2237,33,3309,330911,NGEMPLAK,,
2238,34,3404,340411,NGEMPLAK,,
2239,35,3518,351802,NGETOS,,
2240,53,5311,531104,NGGAHA ORI ANGU,,
2241,93,9301,930116,NGGUTI,,
2242,35,3524,352404,NGIMBANG,,
2243,35,3518,351818,NGLUYU,,
2244,11,1173,117301,MUARA DUA,,
2245,95,9507,950711,NINAME,,
2246,63,6309,630908,MUARA HARUS,,
2247,64,6402,640214,MUARA JAWA,,
2248,64,6402,640211,MUARA KAMAN,,
2249,95,9503,950303,NINIA,,
2250,64,6401,640107,MUARA KOMAM,,
2251,16,1610,161001,MUARA KUANG,,
2252,16,1605,160502,MUARA LAKITAN,,
2253,15,1507,150702,NIPAH PANJANG,,
2254,16,1607,160707,MUARA PADANG,,
2255,64,6407,640710,MUARA PAHU,,
2256,96,9604,960412,MUBRANI,,
2257,61,6104,610417,MUARA PAWAN,,
2258,95,9508,950806,MUGI,,
2259,95,9503,950322,NIPSAN,,
2260,15,1507,150701,MUARA SABAK TIMUR,,
2261,17,1704,170411,MUARA SAHUNG,,
2262,64,6401,640110,MUARA SAMU,,
2263,11,1173,117304,MUARA SATU,,
2264,15,1502,150203,MUARA SIAU,,
2265,16,1607,160713,MUARA SUGIHAN,,
2266,18,1803,180315,MUARA SUNGKAI,,
2267,15,1509,150912,MUARA TABIR,,
2268,91,9171,917104,MUARA TAMI,,
2269,15,1504,150402,MUARA TEMBESI,,
2270,11,1107,110712,MUARA TIGA,,
2271,63,6309,630907,MUARA UYA,,
2272,64,6408,640802,MUARA WAHAU,,
2273,32,3216,321617,MUARAGEMBONG,,
2274,95,9503,950315,MUGI,,
2275,61,6103,610302,MUKOK,,
2276,94,9402,940201,MULIA,,
2277,16,1604,160415,MULAK ULU,,
2278,73,7373,737308,MUNGKAJANG,,
2279,33,3308,330809,MUNGKID,,
2280,36,3601,360108,MUNJUL,,
2281,35,3503,350302,MUNJUNGAN,,
2282,12,1206,120606,MUNTE,,
2283,33,3308,330808,MUNTILAN,,
2284,19,1905,190501,MENTOK,,
2285,95,9502,950228,MURKIM,,
2286,62,6212,621201,MURUNG,,
2287,95,9508,950819,NIRKURI,,
2288,81,8103,810309,NIRUNMAS,,
2289,95,9503,950312,MUSAIK,,
2290,11,1108,110816,NISAM,,
2291,11,1108,110827,NISAM ANTARA,,
2292,53,5307,530704,NITA,,
2293,53,5302,530224,NOEBANA,,
2294,53,5302,530226,NOEBEBA,,
2295,53,5303,530304,NOEMUTI,,
2296,53,5303,530312,MUSI,,
2297,32,3275,327511,MUSTIKAJAYA,,
2298,33,3309,330904,MUSUK,,
2299,95,9507,950712,NOGI,,
2300,33,3309,330912,NOGOSARI,,
2301,11,1107,110724,MUTIARA TIMUR,,
2302,93,9301,930102,MUTING,,
2303,53,5303,530313,MUTIS,,
2304,94,9403,940314,MUYE,,
2305,12,1223,122306,NA IX - X,,
2306,94,9401,940101,NABIRE,,
2307,95,9504,950417,NABUNAGE,,
2308,53,5303,530318,NAIBENU,,
2309,15,1502,150211,NALO TANTAN,,
2310,33,3320,332012,NALUMSARI,,
2311,61,6103,610303,NOYAN,,
2312,71,7110,711003,NUANGAN,,
2313,19,1904,190405,NAMANG,,
2314,95,9504,950421,NUMBA,,
2315,74,7471,747111,NAMBO,,
2316,81,8104,810401,NAMLEA,,
2317,95,9503,950313,PASEMA,,
2318,12,1207,120706,NAMO RAMBE,,
2319,81,8109,810901,NAMROLE,,
2320,11,1114,111409,PASIE RAYA,,
2321,73,7301,730109,PASILAMBENA,,
2322,73,7301,730107,PASIMARANNU,,
2323,73,7301,730106,PASIMASUNGGU,,
2324,53,5304,530423,NANAET DUABESI,,
2325,61,6109,610904,NANGA MAHAP,,
2326,61,6110,611002,NANGA PINOH,,
2327,61,6109,610903,NANGA TAMAN,,
2328,61,6104,610411,NANGA TAYAP,,
2329,53,5308,530801,NANGAPANDA,,
2330,53,5316,531602,NANGARORO,,
2331,73,7326,732603,NANGGALA,,
2332,35,3508,350804,PASIRIAN,,
2333,32,3204,320438,PASIRJAMBU,,
2334,32,3203,320332,PASIRKUDA,,
2335,32,3205,320508,PASIRWANGI,,
2336,35,3508,350811,PASRUJAMBE,,
2337,34,3401,340110,NANGGULAN,,
2338,32,3201,320121,NANGGUNG,,
2339,71,7104,710405,NANUSA,,
2340,74,7403,740306,NAPABALANO,,
2341,17,1703,170313,NAPAL PUTIH,,
2342,94,9401,940102,NAPAN,,
2343,74,7413,741311,NAPANO KUSAMBI,,
2344,82,8202,820210,PATANI TIMUR,,
2345,82,8202,820206,PATANI UTARA,,
2346,32,3279,327902,PATARUMAN,,
2347,33,3324,332404,PATEAN,,
2348,12,1213,121316,NATAL,,
2349,18,1801,180104,NATAR,,
2350,93,9301,930112,NAUKENJERAI,,
2351,35,3501,350107,NAWANGAN,,
2352,33,3324,332414,PATEBON,,
2353,33,3318,331810,PATI,,
2354,36,3601,360124,PATIA,,
2355,53,5308,530805,NDONA,,
2356,94,9402,940206,NUME,,
2357,53,5308,530817,NDORI,,
2358,53,5301,530116,NEKAMESE,,
2359,95,9504,950413,NELAWI,,
2360,53,5371,537104,OEBOBO,,
2361,53,5302,530218,OENINO,,
2362,92,9211,921103,NENEY,,
2363,95,9508,950830,NENGGEAGIN,,
2364,61,6108,610801,NGABANG,,
2365,35,3506,350604,NGADILUWIH,,
2366,33,3323,332309,NGADIREJO,,
2367,35,3507,350727,NGANTANG,,
2368,94,9405,940512,OGAMANIM,,
2369,72,7204,720405,OGODEIDE,,
2370,74,7409,740908,OHEO,,
2371,74,7408,740806,NGAPA,,
2372,35,3516,351605,NGORO,,
2373,35,3522,352201,NGRAHO,,
2374,35,3521,352102,NGRAMBE,,
2375,33,3314,331408,NGRAMPAL,,
2376,35,3502,350202,NGRAYUN,,
2377,35,3514,351421,NGULING,,
2378,95,9502,950221,OKSAMOL,,
2379,35,3517,351721,NGUSIKAN,,
2380,33,3311,331105,NGUTER,,
2381,11,1108,110821,NIBONG,,
2382,95,9502,950224,OKSEBANG,,
2383,95,9502,950201,OKSIBIL,,
2384,92,9207,920712,NIKIWAR,,
2385,95,9502,950214,OKSOP,,
2386,35,3527,352705,OMBEN,,
2387,53,5313,531306,OMESURI,,
2388,91,9103,910307,NIMBORAN,,
2389,21,2171,217104,NONGSA,,
2390,76,7603,760313,NOSU,,
2391,73,7324,732402,NUHA,,
2392,72,7201,720113,NUHON,,
2393,53,5302,530232,NUNBENA,,
2394,53,5302,530217,NUNKOLO,,
2395,65,6503,650302,NUNUKAN,,
2396,65,6503,650309,NUNUKAN SELATAN,,
2397,11,1103,110306,NURUSSALAM,,
2398,81,8101,810116,NUSA LAUT,,
2399,51,5105,510501,NUSA PENIDA,,
2400,71,7103,710309,NUSA TABUKAN,,
2401,81,8171,817101,NUSANIWE,,
2402,33,3301,330105,NUSAWUNGU,,
2403,32,3202,320239,NYALINDUNG,,
2404,12,1214,121422,ONOHAZUMBA,,
2405,82,8272,827203,OBA,,
2406,82,8272,827207,OBA SELATAN,,
2407,82,8272,827206,OBA TENGAH,,
