id,province_code,city_code,district_code,district,created_at,updated_at
1386,72,7208,720808,KASIMBAR,,
1387,82,8204,820415,KASIRUTA BARAT,,
1388,33,3310,331018,KARANGANOM,,
1389,33,3321,332109,KARANGANYAR,,
1390,33,3313,331309,KARANGANYAR,,
1391,32,3210,321024,KASOKANDEL,,
1392,32,3213,321326,KASOMALANG,,
1393,35,3521,352119,KASREMAN,,
1394,18,1808,180802,KASUI,,
1395,53,5311,531119,KATALA HAMU LINGU,,
1396,21,2104,210411,KATANG BIDARE,,
1397,32,3204,320411,KATAPANG,,
1398,14,1404,140408,KATEMAN,,
1399,18,1801,180108,KATIBUNG,,
1400,63,6303,630305,MARTAPURA,,
1401,35,3521,352117,KARANGANYAR,,
1402,31,3175,317503,MATRAMAN,,
1403,63,6303,630314,MARTAPURA BARAT,,
1404,71,7172,717205,MATUARI,,
1405,53,5313,531305,NUBATUKAN,,
1406,33,3312,331223,KARANGTENGAH,,
1407,64,6402,640201,MUARA MUNTAI,,
1408,91,9106,910605,NUMFOR TIMUR,,
1409,16,1608,160806,MADANG SUKU II,,
1410,95,9504,950419,NUNGGAWI,,
1411,16,1608,160813,MADANG SUKU III,,
1412,75,7571,757107,SIPATANA,,
1413,35,3519,351905,KARE,,
1414,53,5311,531113,KARERA,,
1415,21,2102,210203,KARIMUN,,
1416,33,3320,332010,KARIMUNJAWA,,
1417,76,7606,760605,KAROSSA,,
1418,33,3311,331112,KARTASURA,,
1419,12,1203,120304,SIPIROK,,
1420,12,1218,121808,SIPISPIS,,
1421,12,1202,120204,SIPOHOLON,,
1422,13,1309,130902,SIPORA SELATAN,,
1423,13,1309,130908,SIPORA UTARA,,
1424,81,8107,810706,SIR-SIR,,
1425,15,1506,150609,MUARA PAPALIK,,
1426,35,3520,352015,KARTOHARJO,,
1427,53,5317,531705,KATIKU TANA SELATAN,,
1428,62,6206,620602,KATINGAN HILIR,,
1429,71,7102,710212,KAWANGKOAN,,
